"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Arian Foster","HOU","  vs.  PHI",1,7,1.6792452830189,1.0949900474375,NA,1,"1"
"2","DeMarco Murray","DAL","  vs.  ARI",1,8,2.4905660377358,1.6092027969978,NA,2,"1"
"3","Jamaal Charles","KC","  vs.  NYJ",2,13,4.5849056603774,1.9564500221609,NA,3,"2"
"4","Le'Veon Bell","PIT","  vs.  BAL",1,20,5.1698113207547,3.4626625651183,NA,4,"2"
"5","Marshawn Lynch","SEA","  vs.  OAK",1,15,5.6792452830189,3.1249065489765,NA,5,"2"
"6","Andre Ellington","ARI","  at  DAL",1,10,5.7735849056604,2.262420722547,NA,6,"2"
"7","LeSean McCoy","PHI","  at  HOU",2,17,6.9622641509434,2.7742907585982,NA,7,"2"
"8","Ronnie Hillman","DEN","  at  NE",2,12,8.0943396226415,2.1391600444981,NA,8,"3"
"9","Ahmad Bradshaw","IND","  at  NYG",3,20,9.5660377358491,2.9811320754717,NA,9,"3"
"10","Lamar Miller","MIA","  vs.  SD",4,17,10.509433962264,2.5299909874508,NA,10,"3"
"11","Giovani Bernard","CIN","  vs.  JAC",3,32,12.132075471698,4.2914471141943,NA,11,"4"
"12","Shane Vereen","NE","  vs.  DEN",3,18,12.754716981132,3.4853096577587,NA,12,"4"
"13","Branden Oliver","SD","  at  MIA",6,28,12.981132075472,4.6479476746549,NA,13,"4"
"14","Mark Ingram","NO","  at  CAR",3,21,13.22641509434,3.7849827867008,NA,14,"4"
"15","Jerick McKinnon","MIN","  vs.  WAS",9,24,14.698113207547,2.8389800564232,NA,15,"4"
"16","Justin Forsett","BAL","  at  PIT",9,31,15.584905660377,3.2934123054579,NA,16,"5"
"17","Ben Tate","CLE","  vs.  TB",3,27,17.245283018868,3.6285329452817,NA,17,"5"
"18","Alfred Morris","WAS","  at  MIN",14,27,19.301886792453,2.695803206946,NA,18,"6"
"19","Denard Robinson","JAC","  at  CIN",11,29,19.679245283019,3.6743557253538,NA,19,"6"
"20","Christopher Ivory","NYJ","  at  KC",14,39,21.018867924528,3.9644198987367,NA,20,"6"
"21","Frank Gore","SF","  vs.  STL",12,31,21.037735849057,3.6236240805848,NA,21,"6"
"22","Darren McFadden","OAK","  at  SEA",12,42,22.603773584906,3.9589384065967,NA,22,"6"
"23","Bobby Rainey","TB","  at  CLE",9,42,24.452830188679,6.6632363311777,NA,23,"7"
"24","Andre Williams","NYG","  vs.  IND",15,32,24.735849056604,3.929333052996,NA,24,"7"
"25","Travaris Cadet","NO","  at  CAR",11,38,25.211538461538,5.48542312533,NA,25,"7"
"26","Jeremy Hill","CIN","  vs.  JAC",12,41,25.679245283019,4.7454987009764,NA,26,"7"
"27","Trent Richardson","IND","  at  NYG",17,41,26.754716981132,3.9088948415332,NA,27,"8"
"28","Jonathan Stewart","CAR","  vs.  NO",19,37,28,4.0430377003132,NA,28,"8"
"29","Darren Sproles","PHI","  at  HOU",16,41,28.415094339623,4.6961805526995,NA,29,"8"
"30","Lorenzo Taliaferro","BAL","  at  PIT",19,45,30.452830188679,4.1914829984006,NA,30,"9"
"31","Tre Mason","STL","  at  SF",18,42,32.018867924528,4.4910416745092,NA,31,"9"
"32","Jonas Gray","NE","  vs.  DEN",16,50,33.716981132075,6.1839028968266,NA,32,"10"
"33","Roy Helu","WAS","  at  MIN",22,40,33.403846153846,4.0252071871406,NA,33,"10"
"34","Benny Cunningham","STL","  at  SF",22,51,34.519230769231,6.1284029310422,NA,34,"10"
"35","DeAngelo Williams","CAR","  vs.  NO",19,48,36.22641509434,5.7745097298515,NA,35,"10"
"36","Doug Martin","TB","  at  CLE",24,55,35.954545454545,7.0257789780162,NA,36,"10"
"37","Knile Davis","KC","  vs.  NYJ",25,48,37.018867924528,3.9644198987367,NA,37,"10"
"38","Carlos Hyde","SF","  vs.  STL",29,49,38.903846153846,4.1844934229965,NA,38,"11"
"39","Matt Asiata","MIN","  vs.  WAS",23,52,39.21568627451,5.384486523083,NA,39,"11"
"40","Chris Johnson","NYJ","  at  KC",28,55,39.365384615385,4.6617463142287,NA,40,"11"
